Reviews1,Theme1
Mediclaim policy,Employee Welfare
Mediclaim facility,Employee Welfare
"Openness, opportunities of learning no barrier of departments. ",Learning & Development
Friendly culture & dedication of employee toward their work,Positive Organizational Culture
Efforts made by our organization for timely payment of salaries and different welfare activities for employees.,Employee Welfare
More focus on health & safety & mental peace of employee,Employee Welfare
1. healthy & clean work place  2. employee of month & operator of day & month  ,Employee Welfare
Biggest source of happiness in our organisation is open relationship and understanding .  examples are sgia and monthly commuinication meetings,Transparency
"Total employee involvement,   funny saturday,operator of the month.",Employee Engagement
Work place & honesty,Positive Organizational Culture
Lsip is the biggest source of happiness,NA
"Biggest source of happiness is ""family visit ' to our organization. in this family is involved and they will also learn about company colture",Employee Engagement
Birthday celibration of employes for every month,Employee Engagement
Morning exercise is one of source of happiness & health.,Employee Welfare
Birthday celebration,Employee Engagement
Yes,NA
We have a family work culture & the organization is taking care of all the needs of our family.  our cmd sir is fatherly figure for all of us. he started a programme to visit our families at home \7 understnd their needs,Employee Welfare
Happiness program,NA
No departmental boundaries & open communication with each other.,Transparency
Top management guideness & open comunication beetwen all employee,Transparency
Family bonding by home visit top management,Employee Welfare
Family bonding by home visit of our h.cmd sir & by top management for spreading happiness aoung our faily too,Employee Welfare
Home visit by top management for spreading happiness among our family,Employee Welfare
Home visits by top management,Employee Welfare
Involvement of family members in highs and lows of copany's performance,Employee Welfare
Family bonding at our home's by h.cmd sir and top management visit for spreading happiness to our family too.,Employee Welfare
Family bonding-home visit by our h. cmd sir and by top management for spreading happiness in our family too.,Employee Welfare
Birthday celeberation,Employee Engagement
Family visits for staff.,Employee Welfare
Family bonding by home visit of our h. cmd sir & by top mangement for spreading happiness aoung our family too.,Employee Welfare
Family bonding by visting our homes by h. cmd sir and top mangement for spreading happiness ,Employee Welfare
Family work culture is the biggest source of happiness.  example:  our honorable chairman has visited our home on many occasions to understand the happiness quotient of our family members & mitigate their grievances if any.,Employee Welfare
"Happy and positive work culture.  birth day celebration of employees,funny saturday etc.",Employee Engagement
"Family work environment is the biggest source of happiness. our respected cmd sir have passion for the employee's family must be healthy, wealthy & happy.",Employee Welfare
Family bonding culture   i.e. our honourable cmd sir & top management visited regularly at our home to spread happiness among our family members. ,Employee Welfare
Family bonding work culture  e.g. our beloved cmd & top management regularly visits our home to ensure spreading of happiness among our family members,Employee Welfare
Family work culture is biggest source of happiness in our organization. our cmd sir has started this initiative by visiting family members to understand their happiness quotient. this created a wonderful bonding among our family members. ,Employee Welfare
Top management thoughts and vision :- only organization running happiness and positivity program.,Leadership Styles
Top management support and guidance with open communication process.  example:- organization vision & values selected by all category of employee's.,Transparency
Growth & level advancement with duration & long association , 
Appreciation for job well done and feedback on improvement areas. , 
A) acknowledgment of achievement. example -  mail from your superior on achieveing a specific target.  b) break area option where u can relax from a regular session, 
"- employees are empowered to work with creativity ,open mind & satisfaction.      ",Satisfied employed
Working culture ,Positve Organizational Culture
Target achievement,Target Driven
"My self  feels very much happy working with my company major points , that is flexibility , good relationship with superiors, leaning and career development , job security, brand values, and off-course appreciation and appraisal for the job done, promotions and salary hike.", 
"The infrastucture, hygeine and other realed facilities", 
Open communication & freedom to reach to top management,Tranparency in Communication
Motivation,Motivation
Celebrating all festivals together,Employee Engagement - Celebration of Festivals
Nil, 
Understanding and encoraging boss  great hr team coming up with good initiatives, 
Opportunities,Opportunities
Joyful workplace,Good environment
Employee welfare,Employee Welfare
Employee welfare,Employee welfare
Celebrating the festivals together.,Employee Engagement - Celebration of Festivals
"There is no ""hapiness"" at all.",Dissasitfied
Kpi achievement and zero customer and dealer escalation , 
Carrom & tea sessions.  we can understnd each others views and this is happening regulary in our office.,Employee Engagement- recreational activities
Celebrating major festive,Employee Engagement - Celebration of Festivals
I would say the biggest source of happiness in my organization for me has been to see smaller stakeholders gradually growing and developing confidence in themshelves and the brand . that gives me joy when a brandshop i handle who did business of 5 lakhs when i took over now contributes 5 times that turnover., 
